Age,Gender,Reach,Impressions,Frequency,Amount spent (PKR),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate)
25-34,male,627618,1182684,1.88440102,56462.62437,47.74109092,6472,8.7241385,0.54722986
35-44,male,378409,699992,1.84982915,42324.96203,60.46492251,4105,10.31058758,0.58643527
18-24,male,521398,927621,1.77910349,35782.25112,38.57421417,4892,7.31444218,0.52737055
45-54,male,174140,390245,2.24098427,22749.49867,58.29542638,2668,8.5267986,0.68367308
55-64,male,101624,269833,2.6552094,13812.03177,51.18733354,2273,6.07656479,0.84237288
65+,male,56174,134479,2.3939723,7333.130487,54.52993022,1388,5.28323522,1.03213141
25-34,female,39322,66217,1.68396826,3883.401289,58.6465906,431,9.01021181,0.65089025
18-24,female,45961,69269,1.50712561,3815.193405,55.07793392,455,8.38504045,0.65685949
35-44,female,24002,35682,1.48662611,2597.604377,72.79873261,237,10.96035602,0.66420044
45-54,female,10213,21295,2.08508763,1343.612544,63.09521223,166,8.09405147,0.77952571
55-64,female,9192,18705,2.03492167,953.3345895,50.96683184,182,5.23810214,0.97300187
65+,female,5617,15759,2.80559017,746.5068212,47.37018981,137,5.4489549,0.8693445
